Date,Description,Points,Amount
2024-01-05 10:30:00,SWIGGY INSTAMART BANGALORE,8,-450
2024-01-07 14:22:00,AMAZON PAY INDIA PRIVA Bangalore,24,-1200
2024-01-10 19:45:00,UBER INDIA SYSTEMS PVT BANGALORE,4,-350
2024-01-12 11:00:00,NETFLIX.COM AMSTERDAM,0,-649
2024-01-15 16:30:00,FLIPKART PAYMENTS BANGALORE,48,-2400
2024-01-18 09:15:00,IOCL PETRO PUMP BANGALORE,0,-2500
2024-01-20 20:00:00,ZOMATO ORDER GURGAON,12,-680
2024-01-22 00:00:00,IGST-VPS1234567890-RATE 18.0,0,-45
2024-01-25 13:45:00,BESCOM ONLINE PAYMENT,0,-1850
2024-01-28 17:30:00,MAKEMYTRIP INDIA PVT GURGAON,120,-8500
2024-02-02 11:20:00,SWIGGY FOOD ORDER BANGALORE,6,-380
2024-02-05 15:00:00,MYNTRA DESIGNS PRIVATE Bangalore,32,-1600
2024-02-08 10:30:00,BPCL FUEL STATION BANGALORE,0,-3200
2024-02-10 19:00:00,DOMINOS PIZZA BANGALORE,8,-520
2024-02-12 00:00:00,NETBANKING TRANSFER (Ref# 12345),0,45000
2024-02-14 14:30:00,SPOTIFY INDIA AB STOCKHOLM,0,-119
2024-02-17 16:45:00,BIGBASKET BANGALORE,0,-2100
2024-02-20 12:00:00,AMAZON RETAIL INDIA BANGALORE,56,-2800
2024-02-22 18:30:00,OLA ELECTRIC BANGALORE,8,-450
2024-02-25 09:00:00,JIO PREPAID RECHARGE,0,-999
2024-03-01 11:30:00,CLEARTRIP MUMBAI,200,-15000
2024-03-04 14:00:00,SWIGGY GENIE BANGALORE,4,-250
2024-03-07 17:30:00,HPCL PETROL PUMP BANGALORE,0,-2800
2024-03-10 20:15:00,KFC RESTAURANT BANGALORE,6,-420
2024-03-12 10:00:00,APPLE.COM/BILL CUPERTINO,0,-999
2024-03-15 13:45:00,DMART READY BANGALORE,0,-3500
2024-03-18 16:00:00,NYKAA E-RETAIL MUMBAI,20,-1100
2024-03-20 19:30:00,STARBUCKS COFFEE BANGALORE,4,-350
2024-03-22 00:00:00,CREDIT CARD PAYMENT HDFC,0,50000
2024-03-25 11:00:00,IRCTC TRAIN BOOKING,80,-4200
2024-03-28 15:30:00,AIRTEL POSTPAID BILL,0,-1299
2024-04-02 10:45:00,BLINKIT BANGALORE,0,-890
2024-04-05 14:15:00,AJIO RETAIL MUMBAI,28,-1400
2024-04-08 18:00:00,UBER EATS BANGALORE,6,-520
2024-04-10 12:30:00,SHELL PETROL BANGALORE,0,-3100
2024-04-12 00:00:00,GST-FINANCE CHARGES,0,-125
2024-04-15 16:00:00,GOIBIBO HOTELS GURGAON,160,-12000
2024-04-18 09:30:00,MEESHO BANGALORE,16,-850
2024-04-20 20:00:00,HOTSTAR PREMIUM MUMBAI,0,-299
2024-04-22 11:45:00,RELIANCE FRESH BANGALORE,0,-1650
2024-04-25 15:00:00,AMAZON PRIME VIDEO,0,-179
2024-04-28 18:30:00,TATA PLAY DTH RECHARGE,0,-450
